"","id","Own","IntentToBuy","BrandAwareness_Anker","BrandAwareness_Bose","BrandAwareness_JBL","BrandAwareness_Philips","BrandAwareness_Sony","BrandAwareness_UE","BrandAwareness_HarmanKardon","BrandAwareness_Beats","BrandAwareness_None","SubjKnow_r1","SubjKnow_r2","SubjKnow_r3","SubjKnow_r4","SubjKnow_r5","PII_1","PII_2","PII_3","PII_4","PII_5","RelImp_battery","RelImp_weight","RelImp_price","RelImp_sound","Gender","GenderLabel","Age","AgeLabel","Residence","Occupation","OccupationLabel","Education","EducationLabel","Income","IncomeLabel"
"66",189,0,0,0,1,0,1,1,1,0,1,0,2,2,2,3,2,5,4,5,5,5,25,5,35,35,2,"male",2,"18-24","Belgium",3,"Student",2,"High school",1,"<500€"
"68",192,1,0,0,0,0,0,1,0,0,0,0,4,3,4,4,5,6,5,5,6,3,10,10,20,60,1,"female",2,"18-24","Germany",1,"Employed",2,"High school",8,"rather not say"
"69",194,0,0,0,1,1,1,1,0,0,1,0,5,5,3,5,5,4,2,5,2,3,10,10,30,50,2,"male",2,"18-24","Germany",3,"Student",2,"High school",2,"501-1000€"
"72",213,1,0,0,1,1,0,0,0,0,0,0,6,3,5,3,3,7,7,7,7,7,50,5,5,40,2,"male",2,"18-24","Germany",2,"Self-employed",2,"High school",4,"1501-2000€"
"74",216,1,0,0,1,0,0,0,0,0,0,0,6,7,3,3,7,6,5,6,7,6,20,10,20,50,2,"male",3,"25-29","Turkey",2,"Self-employed",4,"Graduate",7,">=3001€"
"75",218,0,0,0,1,0,0,0,0,0,0,0,2,7,1,2,1,4,4,3,4,5,10,10,30,50,1,"female",2,"18-24","Belgium",3,"Student",3,"Undergraduate",1,"<500€"
"76",222,0,1,0,1,1,0,0,0,0,1,0,2,2,2,2,2,4,4,5,4,5,25,15,30,30,1,"female",2,"18-24","Germany",3,"Student",5,"Other",2,"501-1000€"
"77",223,0,0,0,1,1,0,0,0,0,0,0,2,2,2,2,2,4,4,4,4,4,10,10,30,50,2,"male",3,"25-29","Turkey",1,"Employed",3,"Undergraduate",4,"1501-2000€"
"78",228,0,1,0,1,0,1,1,0,0,1,0,5,5,5,6,3,6,6,6,6,6,20,25,45,10,3,"Prefer not to answer",2,"18-24","Germany",3,"Student",4,"Graduate",8,"rather not say"
"79",231,0,1,0,0,1,0,0,0,0,0,0,3,2,2,2,2,4,4,4,4,4,2,0,90,8,2,"male",4,"30-34","Portugal",2,"Self-employed",3,"Undergraduate",2,"501-1000€"
"80",233,0,0,0,1,1,1,1,0,0,0,0,5,5,2,6,6,6,6,6,6,6,30,10,35,25,2,"male",3,"25-29","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
"89",259,1,1,0,0,1,0,0,0,0,1,0,5,5,4,3,5,5,5,5,4,4,30,5,15,50,2,"male",3,"25-29","Germany",2,"Self-employed",4,"Graduate",3,"1001-1500€"
"92",267,1,0,0,1,0,1,1,0,0,1,0,3,3,5,5,5,5,5,5,5,5,20,20,30,30,2,"male",3,"25-29","Bulgaria",1,"Employed",4,"Graduate",3,"1001-1500€"
"93",268,1,1,0,0,0,1,1,0,0,1,0,4,5,2,5,5,5,5,5,5,4,5,5,40,50,1,"female",3,"25-29","Denmark",3,"Student",4,"Graduate",4,"1501-2000€"
"96",279,0,0,0,1,0,0,0,0,0,0,0,2,2,1,2,2,1,1,1,1,1,10,30,60,0,2,"male",5,"35-39","Malaysia",1,"Employed",3,"Undergraduate",3,"1001-1500€"
"101",288,0,1,0,1,1,0,1,0,0,1,0,6,6,3,6,7,4,4,4,4,4,40,30,15,15,1,"female",2,"18-24","Germany",3,"Student",2,"High school",1,"<500€"
"102",289,0,0,0,1,0,1,0,0,0,1,0,3,5,2,6,5,6,2,3,2,2,20,10,60,10,1,"female",2,"18-24","Germany",3,"Student",4,"Graduate",2,"501-1000€"
"105",299,0,0,0,0,0,1,1,0,0,0,0,1,1,1,2,1,1,3,1,3,3,20,20,40,20,1,"female",2,"18-24","Syria",4,"Unemployed",4,"Graduate",1,"<500€"
"106",300,1,1,0,1,1,0,0,0,0,0,0,6,6,6,6,6,2,6,6,4,5,10,30,10,50,2,"male",3,"25-29","Germany",1,"Employed",4,"Graduate",3,"1001-1500€"
"107",301,0,0,0,0,0,1,1,0,0,0,0,1,1,1,2,1,2,2,2,2,2,20,10,50,20,1,"female",8,">=50","Syria",4,"Unemployed",4,"Graduate",3,"1001-1500€"
"108",303,0,0,0,0,1,1,1,0,0,0,0,2,2,1,2,2,1,2,1,1,1,20,20,40,20,2,"male",8,">=50","Syria",2,"Self-employed",4,"Graduate",7,">=3001€"
"110",307,0,0,0,0,0,1,1,0,0,0,0,1,7,1,7,7,1,1,1,1,1,10,5,80,5,1,"female",8,">=50","Germany",1,"Employed",4,"Graduate",8,"rather not say"
"111",319,0,0,1,1,0,1,1,0,0,1,0,3,5,1,6,4,1,1,1,1,1,20,20,0,60,2,"male",3,"25-29","Germany",1,"Employed",4,"Graduate",7,">=3001€"
"112",322,1,0,1,0,1,0,0,0,0,0,0,3,5,3,3,6,6,5,5,5,6,20,10,45,25,2,"male",3,"25-29","Germany",3,"Student",5,"Other",1,"<500€"
"113",323,1,0,1,0,1,0,1,0,0,1,0,7,7,6,6,7,6,6,5,6,5,15,5,20,60,2,"male",3,"25-29","Germany",1,"Employed",4,"Graduate",4,"1501-2000€"
"115",325,0,0,0,0,1,1,1,0,0,1,0,2,2,2,2,2,1,2,1,1,1,20,20,30,30,1,"female",8,">=50","Syria",4,"Unemployed",4,"Graduate",2,"501-1000€"
"116",326,0,0,0,1,1,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,30,10,30,30,2,"male",7,"45-49","Syria",1,"Employed",4,"Graduate",3,"1001-1500€"
"117",327,1,0,0,0,1,1,1,0,0,1,0,6,6,4,6,5,5,5,6,5,5,20,20,40,20,2,"male",1,"<18","Syria",3,"Student",3,"Undergraduate",1,"<500€"
"118",328,1,0,0,1,0,1,1,0,0,1,0,6,7,6,6,6,7,7,7,6,7,30,20,10,40,2,"male",4,"30-34","United Kingdom",1,"Employed",4,"Graduate",6,"2501-3000€"
"122",339,0,1,0,1,1,1,1,0,0,1,0,3,4,2,4,5,3,4,5,4,4,20,10,30,40,2,"male",4,"30-34","Bulgaria",1,"Employed",4,"Graduate",8,"rather not say"
"125",348,1,1,0,1,1,1,0,0,0,0,0,5,5,3,5,5,6,6,6,5,5,15,5,40,40,1,"female",3,"25-29","Turkey",1,"Employed",4,"Graduate",3,"1001-1500€"
"126",355,0,1,0,0,1,0,1,0,0,1,0,6,5,6,6,6,3,4,3,4,3,5,15,50,30,2,"male",3,"25-29","Germany",3,"Student",4,"Graduate",2,"501-1000€"
"131",367,0,1,0,1,0,1,1,0,0,1,0,3,4,2,4,4,4,4,4,4,4,20,20,20,40,1,"female",2,"18-24","Germany",1,"Employed",4,"Graduate",3,"1001-1500€"
"132",369,0,0,1,0,1,0,1,0,0,0,0,4,3,2,5,4,5,4,2,4,5,24,22,20,34,2,"male",3,"25-29","Germany",1,"Employed",2,"High school",6,"2501-3000€"
"134",378,0,0,0,0,0,0,0,0,0,0,1,5,5,2,4,4,1,2,1,1,2,4,0,90,6,1,"female",2,"18-24","Germany",1,"Employed",3,"Undergraduate",3,"1001-1500€"
"136",382,0,0,0,0,0,0,0,0,0,0,1,2,2,1,4,2,3,4,3,4,3,30,0,70,0,2,"male",8,">=50","Germany",2,"Self-employed",4,"Graduate",5,"2001-2500€"
"140",387,1,0,0,1,1,0,1,1,0,1,0,5,5,5,5,5,4,5,4,4,3,10,20,30,40,2,"male",3,"25-29","Netherlands",3,"Student",3,"Undergraduate",3,"1001-1500€"
"142",392,0,1,1,1,0,0,0,1,0,0,0,5,3,1,3,5,5,5,5,5,5,20,5,25,50,2,"male",4,"30-34","Turkey",1,"Employed",4,"Graduate",3,"1001-1500€"
"143",393,1,0,0,1,1,1,1,0,0,0,0,5,2,5,6,6,5,5,5,5,5,30,10,10,50,2,"male",8,">=50","Germany",1,"Employed",5,"Other",8,"rather not say"
"147",403,0,1,1,1,1,0,1,0,0,0,0,7,7,6,7,7,6,4,6,5,5,30,0,0,70,2,"male",3,"25-29","Germany",3,"Student",3,"Undergraduate",1,"<500€"
"151",415,0,0,0,0,0,1,1,0,0,0,0,5,5,1,5,3,5,5,5,5,5,25,5,30,40,2,"male",2,"18-24","Germany",3,"Student",2,"High school",1,"<500€"
"153",417,0,0,0,1,0,0,0,0,0,0,0,3,3,2,3,2,2,6,5,3,6,5,5,40,50,1,"female",2,"18-24","Germany",3,"Student",3,"Undergraduate",1,"<500€"
"154",418,0,1,0,1,1,0,0,0,0,0,0,4,3,3,3,2,2,6,6,7,7,25,15,35,25,1,"female",2,"18-24","France",3,"Student",3,"Undergraduate",1,"<500€"
"157",431,0,0,1,1,1,1,1,1,1,1,0,6,6,5,7,6,5,4,4,4,4,10,0,30,60,2,"male",3,"25-29","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
"159",442,0,0,0,0,0,0,1,0,0,1,0,2,2,2,2,2,2,3,2,3,5,60,0,40,0,1,"female",2,"18-24","United Kingdom",3,"Student",4,"Graduate",1,"<500€"
"160",450,1,1,0,1,0,0,0,0,0,0,0,3,6,2,6,4,5,4,3,5,4,10,10,10,70,2,"male",2,"18-24","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
"165",461,1,0,0,1,1,1,1,0,0,1,0,2,2,4,4,3,5,6,5,6,6,25,10,40,25,1,"female",3,"25-29","Germany",1,"Employed",2,"High school",4,"1501-2000€"
"170",473,0,0,0,1,1,0,1,0,0,1,0,2,4,2,2,2,3,5,4,5,3,5,5,50,40,1,"female",2,"18-24","France",3,"Student",2,"High school",1,"<500€"
"174",490,0,1,0,0,0,1,0,0,0,0,0,3,3,1,4,2,2,4,4,5,4,50,0,0,50,1,"female",2,"18-24","Turkey",1,"Employed",4,"Graduate",2,"501-1000€"
"175",492,0,1,1,1,1,0,0,1,1,0,0,2,2,5,6,6,4,6,5,5,5,10,0,70,20,2,"male",2,"18-24","China",3,"Student",3,"Undergraduate",2,"501-1000€"
"179",509,1,1,0,1,1,0,0,0,1,0,0,7,7,7,7,7,7,7,7,7,7,50,1,1,48,2,"male",3,"25-29","Turkey",2,"Self-employed",4,"Graduate",7,">=3001€"
"181",514,1,1,0,0,1,0,0,0,0,0,0,5,5,3,5,5,6,5,5,5,5,30,20,40,10,2,"male",2,"18-24","Turkey",3,"Student",2,"High school",1,"<500€"
"182",515,1,0,0,1,1,1,1,1,1,1,0,7,7,5,7,7,4,5,3,5,2,20,20,20,40,2,"male",3,"25-29","Turkey",1,"Employed",4,"Graduate",4,"1501-2000€"
"184",518,1,0,0,1,1,1,0,1,0,1,0,4,5,2,5,5,5,5,6,5,6,15,5,10,70,1,"female",2,"18-24","Germany",3,"Student",3,"Undergraduate",1,"<500€"
"185",519,1,1,0,1,1,0,0,0,0,1,0,7,7,6,7,7,7,7,7,7,7,30,10,30,30,1,"female",2,"18-24","Turkey",3,"Student",2,"High school",1,"<500€"
"187",526,0,1,0,1,1,0,1,0,1,1,0,2,3,3,4,3,5,6,5,5,5,30,10,30,30,1,"female",4,"30-34","Turkey",1,"Employed",3,"Undergraduate",4,"1501-2000€"
"190",533,1,0,0,1,1,1,1,0,0,0,0,2,3,4,2,2,5,5,4,5,4,5,5,10,80,1,"female",8,">=50","Germany",1,"Employed",5,"Other",3,"1001-1500€"
"191",535,0,0,0,1,1,1,1,0,1,1,0,6,6,5,6,6,4,4,4,4,4,20,20,10,50,2,"male",2,"18-24","Turkey",1,"Employed",3,"Undergraduate",7,">=3001€"
"197",608,0,0,0,0,1,1,1,0,0,0,0,3,3,3,3,3,3,2,4,5,3,30,10,40,20,1,"female",2,"18-24","Turkey",3,"Student",2,"High school",1,"<500€"
"199",622,0,0,0,0,0,0,0,0,0,0,1,3,2,1,2,2,4,4,4,5,5,20,10,20,50,2,"male",2,"18-24","United Kingdom",3,"Student",2,"High school",2,"501-1000€"
"202",631,0,0,0,1,1,1,1,1,0,0,0,2,2,2,2,2,5,5,5,5,5,35,0,50,15,1,"female",2,"18-24","Germany",3,"Student",2,"High school",1,"<500€"
"203",632,0,0,0,0,1,1,1,0,0,1,0,2,2,2,4,2,4,4,4,4,4,25,10,35,30,1,"female",2,"18-24","Germany",3,"Student",3,"Undergraduate",8,"rather not say"
"204",633,0,0,0,1,1,1,1,0,1,0,0,4,5,3,5,6,4,5,4,4,5,20,10,40,30,2,"male",2,"18-24","Turkey",3,"Student",4,"Graduate",2,"501-1000€"
"206",635,0,1,0,1,1,1,1,0,0,1,0,5,6,5,5,6,5,3,4,3,5,30,15,30,25,1,"female",2,"18-24","Germany",3,"Student",4,"Graduate",2,"501-1000€"
"208",639,0,0,0,1,0,0,0,0,0,1,0,1,2,1,2,1,1,1,1,1,1,80,0,20,0,1,"female",2,"18-24","Germany",1,"Employed",2,"High school",3,"1001-1500€"
"209",641,1,0,0,1,0,0,0,0,0,0,0,3,3,2,4,5,6,5,5,5,5,40,10,10,40,1,"female",2,"18-24","Germany",3,"Student",2,"High school",2,"501-1000€"
"211",645,1,1,0,1,1,1,1,0,0,0,0,6,6,4,6,6,6,5,5,5,5,20,5,25,50,1,"female",3,"25-29","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
"212",647,0,1,0,1,1,0,0,0,0,0,0,3,3,3,4,4,5,4,3,5,5,10,8,12,70,1,"female",3,"25-29","Germany",3,"Student",2,"High school",2,"501-1000€"
"213",652,1,0,0,1,1,1,1,1,1,1,0,5,5,4,5,5,4,5,3,3,5,25,5,20,50,2,"male",3,"25-29","Germany",3,"Student",2,"High school",3,"1001-1500€"
"215",655,1,1,0,1,1,0,0,0,0,0,0,5,5,5,4,4,2,6,2,5,3,20,20,10,50,2,"male",3,"25-29","Turkey",3,"Student",2,"High school",3,"1001-1500€"
"216",656,0,0,0,0,0,1,1,0,0,1,0,4,5,2,3,3,3,4,4,5,4,40,15,30,15,1,"female",2,"18-24","Egypt",1,"Employed",3,"Undergraduate",8,"rather not say"
"219",670,1,0,0,1,1,0,0,0,0,1,0,2,2,2,2,2,4,5,4,4,3,25,15,30,30,2,"male",3,"25-29","Finland",3,"Student",3,"Undergraduate",3,"1001-1500€"
"222",676,0,0,0,1,1,0,0,0,0,0,0,2,4,3,4,4,4,4,5,4,5,20,15,35,30,2,"male",2,"18-24","Germany",3,"Student",2,"High school",2,"501-1000€"
"224",680,1,0,1,1,1,0,0,0,1,1,0,3,3,2,4,3,3,4,5,3,5,30,0,0,70,2,"male",4,"30-34","Germany",2,"Self-employed",4,"Graduate",7,">=3001€"
"225",683,1,1,0,1,1,0,0,0,0,0,0,4,4,2,6,5,6,7,7,6,2,10,20,30,40,2,"male",3,"25-29","Finland",3,"Student",3,"Undergraduate",2,"501-1000€"
"226",685,1,0,0,1,1,1,1,0,0,0,0,6,6,5,7,6,5,6,6,5,4,20,15,30,35,2,"male",3,"25-29","Netherlands",3,"Student",3,"Undergraduate",2,"501-1000€"
"227",689,0,0,0,0,1,0,0,0,0,0,0,4,4,5,4,4,3,2,3,4,5,30,5,15,50,2,"male",8,">=50","Germany",1,"Employed",4,"Graduate",8,"rather not say"
"228",690,0,1,1,1,0,1,1,0,0,1,0,2,2,2,2,3,5,5,6,5,4,20,10,35,35,1,"female",2,"18-24","Germany",3,"Student",4,"Graduate",1,"<500€"
"230",699,0,0,0,0,0,0,0,0,0,1,0,2,2,1,3,3,5,5,5,5,5,20,20,35,25,1,"female",4,"30-34","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
"231",700,1,0,0,1,0,0,0,0,0,0,0,6,7,5,7,7,6,6,6,6,6,20,0,10,70,2,"male",7,"45-49","Germany",1,"Employed",2,"High school",8,"rather not say"
"233",704,1,1,0,1,0,0,0,0,0,0,0,6,6,4,6,6,5,6,7,7,6,25,10,25,40,2,"male",5,"35-39","Saudi Arabia",1,"Employed",4,"Graduate",7,">=3001€"
"234",705,1,0,0,1,1,1,1,1,1,1,0,4,4,4,4,4,3,5,2,3,4,50,5,40,5,1,"female",3,"25-29","Germany",1,"Employed",4,"Graduate",7,">=3001€"
"235",706,1,0,0,1,1,0,0,0,1,0,0,6,6,5,6,6,5,6,6,6,5,20,10,10,60,2,"male",8,">=50","Belgium",2,"Self-employed",4,"Graduate",7,">=3001€"
"237",708,0,0,0,0,0,0,1,0,0,0,0,2,2,2,4,4,6,4,4,5,4,30,20,20,30,3,"Prefer not to answer",7,"45-49","Austria",1,"Employed",2,"High school",8,"rather not say"
"240",717,1,1,0,1,1,0,1,0,1,1,0,6,6,4,6,6,6,6,6,6,6,15,5,15,65,2,"male",4,"30-34","Saudi Arabia",1,"Employed",4,"Graduate",4,"1501-2000€"
"241",718,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,2,5,3,4,5,15,2,70,13,1,"female",2,"18-24","Germany",3,"Student",4,"Graduate",1,"<500€"
"242",720,0,0,0,1,1,0,0,0,0,0,0,3,4,2,6,4,3,2,2,3,2,30,10,40,20,1,"female",2,"18-24","Germany",3,"Student",2,"High school",1,"<500€"
"243",729,1,0,1,1,1,0,1,1,0,1,0,5,5,4,5,5,2,4,4,5,3,0,0,0,100,2,"male",5,"35-39","Saudi Arabia",4,"Unemployed",2,"High school",5,"2001-2500€"
"244",731,1,1,1,1,0,0,1,0,0,0,0,6,6,5,6,7,7,6,5,5,5,20,10,20,50,1,"female",2,"18-24","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
"245",734,1,1,0,0,0,0,0,0,0,0,1,3,6,4,4,5,5,4,5,3,3,25,15,20,40,2,"male",3,"25-29","Saudi Arabia",1,"Employed",4,"Graduate",3,"1001-1500€"
"247",737,1,0,0,1,1,0,0,0,0,1,0,5,5,4,5,6,3,5,5,3,5,20,10,30,40,2,"male",3,"25-29","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
"252",750,1,0,0,0,0,0,0,0,0,0,1,2,3,1,3,5,5,2,6,5,3,40,10,40,10,1,"female",3,"25-29","Germany",3,"Student",4,"Graduate",1,"<500€"
"254",753,0,1,0,1,1,0,0,0,0,1,0,3,3,2,2,3,5,6,5,5,6,30,5,30,35,1,"female",2,"18-24","Germany",3,"Student",2,"High school",2,"501-1000€"
"255",754,0,0,0,0,1,0,1,0,0,0,0,2,2,1,4,3,7,2,7,6,2,0,0,100,0,1,"female",2,"18-24","Germany",3,"Student",3,"Undergraduate",3,"1001-1500€"
"256",756,1,1,0,1,0,0,1,0,0,0,0,2,3,2,5,3,3,3,4,3,3,10,40,20,30,1,"female",2,"18-24","Germany",3,"Student",2,"High school",2,"501-1000€"
"257",760,0,0,1,0,0,0,0,0,0,0,0,2,3,2,4,3,3,4,3,3,3,10,15,50,25,2,"male",4,"30-34","Saudi Arabia",1,"Employed",3,"Undergraduate",4,"1501-2000€"
"263",772,0,1,1,1,1,0,0,0,0,1,0,5,5,5,5,6,6,6,6,6,6,20,10,20,50,2,"male",3,"25-29","Germany",1,"Employed",4,"Graduate",6,"2501-3000€"
"264",774,1,1,0,1,1,0,0,0,0,1,0,2,2,2,2,3,4,4,6,4,5,30,10,30,30,1,"female",3,"25-29","Germany",3,"Student",4,"Graduate",2,"501-1000€"
"265",777,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1,1,1,10,10,20,60,1,"female",5,"35-39","Germany",1,"Employed",4,"Graduate",4,"1501-2000€"
"266",781,0,1,0,1,1,1,1,0,0,0,0,3,3,2,6,4,4,4,5,5,5,15,5,30,50,2,"male",2,"18-24","Belgium",3,"Student",2,"High school",1,"<500€"
"272",792,1,0,0,1,1,0,0,0,0,1,0,4,4,4,4,5,3,3,5,5,3,10,5,35,50,2,"male",2,"18-24","Belgium",3,"Student",2,"High school",1,"<500€"
"273",794,0,1,0,1,1,1,1,0,0,0,0,6,7,5,5,6,5,3,5,4,5,30,5,5,60,2,"male",2,"18-24","Belgium",3,"Student",3,"Undergraduate",2,"501-1000€"
"276",797,0,0,0,1,0,0,0,0,0,0,0,3,3,2,5,3,5,5,5,5,5,30,10,20,40,2,"male",2,"18-24","Belgium",3,"Student",2,"High school",8,"rather not say"
"277",798,0,0,0,1,0,1,1,0,0,0,0,2,2,1,2,2,1,4,4,1,1,20,20,40,20,1,"female",2,"18-24","Belgium",3,"Student",2,"High school",1,"<500€"
"280",802,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,1,5,4,5,3,4,20,30,20,30,1,"female",2,"18-24","Belgium",3,"Student",4,"Graduate",1,"<500€"
"286",816,0,0,0,1,1,0,1,0,0,1,0,3,3,4,4,3,4,4,4,4,4,20,5,25,50,2,"male",2,"18-24","Germany",1,"Employed",2,"High school",2,"501-1000€"
"287",817,0,0,0,0,0,0,0,0,0,0,1,2,2,1,4,2,2,3,2,2,3,50,5,30,15,1,"female",3,"25-29","Germany",3,"Student",4,"Graduate",2,"501-1000€"
"288",821,1,0,0,1,1,0,0,0,0,1,0,2,5,1,4,5,2,3,3,3,4,30,10,20,40,1,"female",2,"18-24","Germany",3,"Student",2,"High school",1,"<500€"
"290",823,1,0,1,1,1,0,1,0,0,1,0,5,5,5,4,5,4,5,6,4,5,10,10,20,60,2,"male",3,"25-29","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
"293",826,0,0,0,0,1,0,0,0,0,0,0,5,6,1,2,3,5,3,3,3,3,50,0,50,0,2,"male",5,"35-39","Germany",1,"Employed",4,"Graduate",8,"rather not say"
"295",835,1,0,1,1,0,0,1,0,0,1,0,5,6,4,5,6,5,5,2,5,6,20,20,30,30,1,"female",2,"18-24","Germany",3,"Student",3,"Undergraduate",3,"1001-1500€"
"297",841,1,1,1,1,1,1,1,1,1,1,0,6,6,6,6,3,2,6,6,3,4,30,0,10,60,2,"male",3,"25-29","Germany",1,"Employed",4,"Graduate",5,"2001-2500€"
"298",845,1,1,0,0,1,0,1,0,0,1,0,3,3,3,5,3,5,6,4,6,5,25,15,20,40,1,"female",1,"<18","Vietnam",3,"Student",1,"Less than high school",8,"rather not say"
"300",850,1,0,0,1,1,0,1,0,0,0,0,2,2,3,3,2,6,5,6,6,5,20,10,10,60,1,"female",2,"18-24","Germany",3,"Student",2,"High school",2,"501-1000€"
"302",852,0,1,0,1,0,0,0,0,0,0,0,4,6,5,6,6,3,2,3,4,4,80,10,5,5,2,"male",3,"25-29","Germany",3,"Student",2,"High school",2,"501-1000€"
"304",855,1,0,0,0,1,0,0,0,0,0,0,4,4,5,4,5,5,3,4,4,2,20,15,45,20,2,"male",3,"25-29","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
"307",864,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,20,30,20,30,2,"male",4,"30-34","United States",3,"Student",4,"Graduate",8,"rather not say"
"308",865,0,1,0,1,1,0,1,0,0,0,0,2,3,2,2,2,5,5,5,5,6,30,10,30,30,1,"female",3,"25-29","Germany",1,"Employed",4,"Graduate",5,"2001-2500€"
"309",869,1,0,0,1,1,0,0,0,0,0,0,2,2,2,4,2,7,6,6,6,4,20,20,40,20,1,"female",2,"18-24","Germany",3,"Student",2,"High school",2,"501-1000€"
"311",881,0,0,0,1,1,0,0,0,0,1,0,4,4,3,5,4,3,3,3,3,3,10,10,40,40,2,"male",2,"18-24","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
"312",882,0,0,0,0,0,0,1,0,0,1,0,4,6,4,6,6,4,4,4,4,4,35,5,15,45,2,"male",3,"25-29","Germany",3,"Student",4,"Graduate",2,"501-1000€"
"313",883,1,0,0,1,1,0,1,0,0,1,0,5,6,1,2,5,5,5,5,5,5,15,0,50,35,2,"male",3,"25-29","Italy",3,"Student",4,"Graduate",2,"501-1000€"
"315",898,0,1,1,1,1,1,1,0,0,0,0,2,4,1,5,5,4,4,4,4,4,10,10,40,40,1,"female",3,"25-29","Germany",1,"Employed",4,"Graduate",8,"rather not say"
"316",900,1,1,0,1,1,1,1,1,0,0,0,6,6,6,6,6,3,3,3,3,3,10,25,40,25,2,"male",3,"25-29","Chile",1,"Employed",4,"Graduate",5,"2001-2500€"
"317",902,0,1,0,1,0,0,1,0,0,0,0,6,6,3,4,6,6,6,5,4,6,20,10,10,60,2,"male",4,"30-34","Saudi Arabia",1,"Employed",3,"Undergraduate",6,"2501-3000€"
"318",903,0,0,0,0,0,0,0,0,0,0,1,2,2,1,6,2,2,2,6,2,3,30,40,20,10,2,"male",8,">=50","Finland",1,"Employed",4,"Graduate",7,">=3001€"
"319",905,1,0,0,1,1,1,1,0,0,1,0,6,7,4,6,6,6,5,6,6,5,15,0,60,25,2,"male",3,"25-29","Spain",3,"Student",4,"Graduate",8,"rather not say"
"320",908,0,1,0,1,1,1,1,1,0,1,0,3,4,4,5,4,4,5,5,4,6,20,0,50,30,2,"male",4,"30-34","Germany",2,"Self-employed",4,"Graduate",3,"1001-1500€"
"322",914,1,0,0,0,1,0,0,0,0,0,0,7,7,7,7,7,5,4,5,5,4,32,5,35,28,2,"male",3,"25-29","India",1,"Employed",4,"Graduate",1,"<500€"
"324",921,0,1,0,1,1,0,1,0,0,0,0,2,2,1,2,2,3,3,3,4,2,0,0,0,100,3,"Prefer not to answer",3,"25-29","Germany",1,"Employed",4,"Graduate",8,"rather not say"
"327",931,1,0,0,1,1,1,1,0,1,1,0,5,4,2,5,5,3,3,2,2,1,0,10,10,80,2,"male",4,"30-34","Germany",4,"Unemployed",4,"Graduate",7,">=3001€"
"328",934,1,0,0,1,1,0,1,0,1,0,0,5,3,2,5,2,5,5,5,3,4,20,10,40,30,2,"male",2,"18-24","Czech Republic",3,"Student",3,"Undergraduate",2,"501-1000€"
"329",936,1,0,0,1,1,0,0,0,0,0,0,3,2,2,4,6,5,4,5,5,4,35,10,25,30,2,"male",3,"25-29","Brazil",1,"Employed",4,"Graduate",4,"1501-2000€"
"331",942,1,0,0,1,1,1,1,0,0,1,0,4,3,2,4,5,7,7,7,7,7,20,5,25,50,2,"male",2,"18-24","India",1,"Employed",4,"Graduate",2,"501-1000€"
"332",949,0,1,0,0,1,1,1,0,0,1,0,3,2,4,3,2,2,5,4,4,2,35,15,25,25,3,"Prefer not to answer",3,"25-29","Germany",3,"Student",4,"Graduate",8,"rather not say"
"335",959,1,1,0,1,1,0,0,0,0,1,0,3,3,2,4,5,5,5,5,5,5,20,5,25,50,2,"male",2,"18-24","Germany",3,"Student",2,"High school",2,"501-1000€"
"336",961,1,1,0,0,1,1,0,0,0,0,0,6,4,5,7,7,7,6,5,4,5,14,8,18,60,2,"male",3,"25-29","Czech Republic",3,"Student",4,"Graduate",2,"501-1000€"
"338",969,1,0,0,1,0,1,1,0,0,1,0,2,6,2,6,6,2,3,3,3,6,50,30,5,15,2,"male",3,"25-29","Austria",1,"Employed",4,"Graduate",2,"501-1000€"
"340",972,1,0,0,1,1,1,1,0,0,1,0,3,3,1,3,1,5,5,5,5,5,20,30,30,20,1,"female",3,"25-29","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
"341",974,1,0,0,1,1,0,1,0,1,1,0,5,7,4,5,6,4,3,4,4,3,30,10,40,20,2,"male",4,"30-34","Germany",4,"Unemployed",4,"Graduate",3,"1001-1500€"
"342",975,1,0,0,1,1,1,1,0,0,0,0,2,5,2,4,5,5,5,5,4,5,10,10,70,10,1,"female",2,"18-24","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
"343",976,0,1,1,1,1,1,1,0,1,1,0,6,6,4,6,6,5,4,4,5,4,50,1,10,39,2,"male",3,"25-29","Saudi Arabia",1,"Employed",3,"Undergraduate",7,">=3001€"
