"","id","cs","alt","choice","none","price","battery1","battery2","battery3","battery4","weight1","weight2","weight3","sound1","sound2","sound3"
"206",14,4,2,1,0,90,0,0,0,1,0,1,0,-1,-1,-1
"207",14,4,3,0,0,150,0,0,1,0,0,0,1,1,0,0
"208",14,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"209",14,5,1,0,0,70,0,1,0,0,0,1,0,0,1,0
"210",14,5,2,0,0,90,0,0,1,0,-1,-1,-1,0,0,1
"211",14,5,3,1,0,150,1,0,0,0,1,0,0,-1,-1,-1
"212",14,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"213",14,6,1,0,0,110,1,0,0,0,-1,-1,-1,1,0,0
"214",14,6,2,1,0,130,-1,-1,-1,-1,0,0,1,-1,-1,-1
"215",14,6,3,0,0,130,0,1,0,0,0,0,1,1,0,0
"216",14,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"217",14,7,1,1,0,70,-1,-1,-1,-1,0,1,0,-1,-1,-1
"218",14,7,2,0,0,150,0,0,0,1,0,1,0,0,0,1
"219",14,7,3,0,0,110,0,0,0,1,1,0,0,0,1,0
"220",14,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"221",14,8,1,0,0,110,0,0,1,0,-1,-1,-1,1,0,0
"222",14,8,2,1,0,130,0,1,0,0,0,0,1,0,0,1
"223",14,8,3,0,0,70,0,0,0,1,1,0,0,1,0,0
"224",14,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"225",14,9,1,0,0,110,1,0,0,0,1,0,0,0,0,1
"226",14,9,2,0,0,150,0,0,1,0,0,0,1,0,1,0
"227",14,9,3,1,0,90,-1,-1,-1,-1,0,1,0,0,0,1
"228",14,9,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"229",14,10,1,1,0,70,0,0,1,0,-1,-1,-1,-1,-1,-1
"230",14,10,2,0,0,90,0,0,0,1,-1,-1,-1,1,0,0
"231",14,10,3,0,0,90,0,1,0,0,1,0,0,0,1,0
"232",14,10,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"233",14,11,1,0,0,150,1,0,0,0,0,0,1,0,1,0
"234",14,11,2,1,0,110,0,1,0,0,0,1,0,-1,-1,-1
"235",14,11,3,0,0,130,-1,-1,-1,-1,-1,-1,-1,1,0,0
"236",14,11,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"237",14,12,1,0,0,130,-1,-1,-1,-1,0,0,1,0,0,1
"238",14,12,2,0,0,70,0,0,1,0,1,0,0,0,1,0
"239",14,12,3,1,0,90,0,0,0,1,0,0,1,-1,-1,-1
"240",14,12,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"241",15,1,1,0,0,110,1,0,0,0,0,1,0,0,0,1
"242",15,1,2,0,0,130,0,0,0,1,-1,-1,-1,1,0,0
"243",15,1,3,1,0,150,-1,-1,-1,-1,0,1,0,0,1,0
"244",15,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"245",15,2,1,0,0,70,0,0,1,0,-1,-1,-1,0,0,1
"246",15,2,2,1,0,150,-1,-1,-1,-1,1,0,0,-1,-1,-1
"247",15,2,3,0,0,90,0,1,0,0,0,0,1,0,1,0
"248",15,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"249",15,3,1,0,0,90,0,1,0,0,0,1,0,1,0,0
"250",15,3,2,1,0,130,1,0,0,0,1,0,0,-1,-1,-1
"251",15,3,3,0,0,70,1,0,0,0,0,0,1,1,0,0
"252",15,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"253",15,4,1,0,0,110,0,0,1,0,1,0,0,0,1,0
"254",15,4,2,0,0,130,1,0,0,0,0,1,0,0,0,1
"255",15,4,3,1,0,70,-1,-1,-1,-1,0,0,1,-1,-1,-1
"256",15,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"257",15,5,1,0,0,110,-1,-1,-1,-1,0,1,0,0,1,0
"258",15,5,2,0,0,70,0,0,0,1,1,0,0,1,0,0
"259",15,5,3,1,0,150,0,0,1,0,-1,-1,-1,-1,-1,-1
"260",15,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"261",15,6,1,1,0,90,-1,-1,-1,-1,-1,-1,-1,0,0,1
"262",15,6,2,0,0,150,0,1,0,0,0,1,0,-1,-1,-1
"263",15,6,3,0,0,150,0,0,0,1,0,0,1,0,0,1
"264",15,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"265",15,7,1,1,0,130,1,0,0,0,0,0,1,0,0,1
"266",15,7,2,0,0,110,0,0,0,1,1,0,0,0,1,0
"267",15,7,3,0,0,90,0,1,0,0,-1,-1,-1,1,0,0
"268",15,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"269",15,8,1,0,0,70,0,0,0,1,-1,-1,-1,0,1,0
"270",15,8,2,0,0,130,0,0,1,0,0,1,0,1,0,0
"271",15,8,3,1,0,150,0,0,1,0,0,1,0,-1,-1,-1
"272",15,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"273",15,9,1,0,0,90,1,0,0,0,1,0,0,-1,-1,-1
"274",15,9,2,1,0,110,0,1,0,0,-1,-1,-1,0,0,1
"275",15,9,3,0,0,130,-1,-1,-1,-1,1,0,0,0,1,0
"276",15,9,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"277",15,10,1,0,0,150,0,1,0,0,1,0,0,1,0,0
"278",15,10,2,1,0,70,0,0,0,1,0,0,1,-1,-1,-1
"279",15,10,3,0,0,90,1,0,0,0,0,1,0,0,1,0
"280",15,10,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"281",15,11,1,0,0,70,1,0,0,0,-1,-1,-1,0,1,0
"282",15,11,2,1,0,150,0,0,1,0,0,0,1,0,0,1
"283",15,11,3,0,0,110,-1,-1,-1,-1,0,1,0,1,0,0
"284",15,11,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"285",15,12,1,0,0,110,0,1,0,0,1,0,0,0,0,1
"286",15,12,2,0,0,130,1,0,0,0,0,1,0,1,0,0
"287",15,12,3,1,0,90,0,0,0,1,1,0,0,-1,-1,-1
"288",15,12,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"289",22,1,1,0,0,130,1,0,0,0,0,1,0,0,1,0
"290",22,1,2,0,0,90,0,0,1,0,-1,-1,-1,1,0,0
"291",22,1,3,1,0,110,0,0,0,1,0,0,1,0,0,1
"292",22,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"293",22,2,1,0,0,70,0,0,0,1,1,0,0,1,0,0
"294",22,2,2,1,0,130,-1,-1,-1,-1,0,1,0,0,0,1
"295",22,2,3,0,0,70,-1,-1,-1,-1,0,0,1,0,1,0
"296",22,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"297",22,3,1,0,0,110,1,0,0,0,-1,-1,-1,0,1,0
"298",22,3,2,1,0,90,0,1,0,0,0,1,0,-1,-1,-1
"299",22,3,3,0,0,110,-1,-1,-1,-1,1,0,0,1,0,0
"300",22,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"301",22,4,1,0,0,90,0,1,0,0,-1,-1,-1,0,0,1
"302",22,4,2,1,0,150,0,0,1,0,0,1,0,-1,-1,-1
"303",22,4,3,0,0,150,-1,-1,-1,-1,0,0,1,1,0,0
"304",22,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"305",22,5,1,1,0,130,-1,-1,-1,-1,0,0,1,-1,-1,-1
"306",22,5,2,0,0,150,0,0,0,1,-1,-1,-1,1,0,0
"307",22,5,3,0,0,90,0,0,1,0,1,0,0,0,1,0
"308",22,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"309",22,6,1,0,0,110,0,0,0,1,0,1,0,0,1,0
"310",22,6,2,1,0,90,0,0,1,0,1,0,0,0,0,1
"311",22,6,3,0,0,130,1,0,0,0,1,0,0,1,0,0
"312",22,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"313",22,7,1,0,0,150,0,1,0,0,1,0,0,-1,-1,-1
"314",22,7,2,1,0,70,0,0,0,1,0,0,1,0,0,1
"315",22,7,3,0,0,110,1,0,0,0,-1,-1,-1,-1,-1,-1
"316",22,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"317",22,8,1,0,0,70,-1,-1,-1,-1,-1,-1,-1,1,0,0
"318",22,8,2,0,0,130,0,0,0,1,0,1,0,0,1,0
"319",22,8,3,1,0,110,0,0,1,0,0,0,1,0,0,1
"320",22,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"321",22,9,1,0,0,90,0,1,0,0,1,0,0,0,1,0
"322",22,9,2,1,0,130,0,0,1,0,0,1,0,0,0,1
"323",22,9,3,0,0,150,1,0,0,0,0,0,1,-1,-1,-1
"324",22,9,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"325",22,10,1,0,0,90,-1,-1,-1,-1,-1,-1,-1,0,1,0
"326",22,10,2,0,0,130,0,1,0,0,-1,-1,-1,0,0,1
"327",22,10,3,0,0,90,0,1,0,0,1,0,0,1,0,0
"328",22,10,4,1,1,0,0,0,0,0,0,0,0,0,0,0
"329",22,11,1,0,0,130,1,0,0,0,0,0,1,1,0,0
"330",22,11,2,1,0,150,0,0,0,1,1,0,0,-1,-1,-1
"331",22,11,3,0,0,70,0,0,1,0,0,0,1,1,0,0
"332",22,11,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"333",22,12,1,0,0,110,-1,-1,-1,-1,1,0,0,0,0,1
"334",22,12,2,1,0,70,-1,-1,-1,-1,0,1,0,0,0,1
"335",22,12,3,0,0,90,0,0,0,1,-1,-1,-1,-1,-1,-1
"336",22,12,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"385",24,1,1,0,0,110,0,0,1,0,1,0,0,1,0,0
"386",24,1,2,0,0,70,1,0,0,0,-1,-1,-1,0,1,0
"387",24,1,3,1,0,90,-1,-1,-1,-1,0,1,0,-1,-1,-1
"388",24,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"389",24,2,1,0,0,150,0,0,0,1,0,1,0,0,0,1
"390",24,2,2,0,0,110,0,0,0,1,0,0,1,1,0,0
"391",24,2,3,1,0,70,0,1,0,0,1,0,0,1,0,0
"392",24,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"393",24,3,1,0,0,150,1,0,0,0,0,0,1,0,0,1
"394",24,3,2,0,0,130,0,1,0,0,-1,-1,-1,1,0,0
"395",24,3,3,1,0,90,0,0,1,0,0,1,0,-1,-1,-1
"396",24,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"397",24,4,1,1,0,70,0,0,1,0,1,0,0,0,1,0
"398",24,4,2,0,0,130,0,0,0,1,-1,-1,-1,0,1,0
"399",24,4,3,0,0,90,-1,-1,-1,-1,0,0,1,-1,-1,-1
"400",24,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"401",24,5,1,1,0,70,-1,-1,-1,-1,0,0,1,-1,-1,-1
"402",24,5,2,0,0,110,0,1,0,0,-1,-1,-1,0,0,1
"403",24,5,3,0,0,130,0,1,0,0,0,1,0,0,0,1
"404",24,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"405",24,6,1,0,0,90,0,0,1,0,-1,-1,-1,1,0,0
"406",24,6,2,0,0,150,1,0,0,0,0,1,0,0,1,0
"407",24,6,3,1,0,150,0,0,0,1,1,0,0,-1,-1,-1
"408",24,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"409",24,7,1,0,0,90,0,0,0,1,1,0,0,0,0,1
"410",24,7,2,1,0,70,-1,-1,-1,-1,1,0,0,0,0,1
"411",24,7,3,0,0,130,1,0,0,0,0,0,1,0,1,0
"412",24,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"413",24,8,1,0,0,130,0,0,0,1,1,0,0,1,0,0
"414",24,8,2,0,0,110,0,1,0,0,0,0,1,0,1,0
"415",24,8,3,1,0,70,0,0,1,0,-1,-1,-1,1,0,0
"416",24,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"417",24,9,1,0,0,110,1,0,0,0,-1,-1,-1,0,0,1
"418",24,9,2,1,0,90,-1,-1,-1,-1,0,0,1,1,0,0
"419",24,9,3,0,0,150,0,0,1,0,0,1,0,-1,-1,-1
"420",24,9,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"421",24,10,1,1,0,90,0,0,0,1,0,0,1,0,1,0
"422",24,10,2,0,0,110,1,0,0,0,1,0,0,1,0,0
"423",24,10,3,0,0,130,0,0,1,0,0,1,0,-1,-1,-1
"424",24,10,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"425",24,11,1,0,0,90,0,1,0,0,-1,-1,-1,-1,-1,-1
"426",24,11,2,0,0,150,-1,-1,-1,-1,0,0,1,-1,-1,-1
"427",24,11,3,1,0,110,-1,-1,-1,-1,0,1,0,0,0,1
"428",24,11,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"429",24,12,1,0,0,130,1,0,0,0,1,0,0,1,0,0
"430",24,12,2,1,0,70,0,0,1,0,0,1,0,0,0,1
"431",24,12,3,0,0,90,0,0,0,1,-1,-1,-1,0,1,0
"432",24,12,4,0,1,0,0,0,0,0,0,0,0,0,0,0
