"id","Own","IntentToBuy","BrandAwareness_Anker","BrandAwareness_Bose","BrandAwareness_JBL","BrandAwareness_Philips","BrandAwareness_Sony","BrandAwareness_UE","BrandAwareness_HarmanKardon","BrandAwareness_Beats","BrandAwareness_None","SubjKnow_r1","SubjKnow_r2","SubjKnow_r3","SubjKnow_r4","SubjKnow_r5","PII_1","PII_2","PII_3","PII_4","PII_5","RelImp_battery","RelImp_weight","RelImp_price","RelImp_sound","Gender","GenderLabel","Age","AgeLabel","Residence","Occupation","OccupationLabel","Education","EducationLabel","Income","IncomeLabel"
442,0,0,0,0,0,0,1,0,0,1,0,2,2,2,2,2,2,3,2,3,5,60,0,40,0,1,"female",2,"18-24","United Kingdom",3,"Student",4,"Graduate",1,"<500€"
450,1,1,0,1,0,0,0,0,0,0,0,3,6,2,6,4,5,4,3,5,4,10,10,10,70,2,"male",2,"18-24","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
461,1,0,0,1,1,1,1,0,0,1,0,2,2,4,4,3,5,6,5,6,6,25,10,40,25,1,"female",3,"25-29","Germany",1,"Employed",2,"High school",4,"1501-2000€"
473,0,0,0,1,1,0,1,0,0,1,0,2,4,2,2,2,3,5,4,5,3,5,5,50,40,1,"female",2,"18-24","France",3,"Student",2,"High school",1,"<500€"
490,0,1,0,0,0,1,0,0,0,0,0,3,3,1,4,2,2,4,4,5,4,50,0,0,50,1,"female",2,"18-24","Turkey",1,"Employed",4,"Graduate",2,"501-1000€"
492,0,1,1,1,1,0,0,1,1,0,0,2,2,5,6,6,4,6,5,5,5,10,0,70,20,2,"male",2,"18-24","China",3,"Student",3,"Undergraduate",2,"501-1000€"
509,1,1,0,1,1,0,0,0,1,0,0,7,7,7,7,7,7,7,7,7,7,50,1,1,48,2,"male",3,"25-29","Turkey",2,"Self-employed",4,"Graduate",7,">=3001€"
514,1,1,0,0,1,0,0,0,0,0,0,5,5,3,5,5,6,5,5,5,5,30,20,40,10,2,"male",2,"18-24","Turkey",3,"Student",2,"High school",1,"<500€"
515,1,0,0,1,1,1,1,1,1,1,0,7,7,5,7,7,4,5,3,5,2,20,20,20,40,2,"male",3,"25-29","Turkey",1,"Employed",4,"Graduate",4,"1501-2000€"
518,1,0,0,1,1,1,0,1,0,1,0,4,5,2,5,5,5,5,6,5,6,15,5,10,70,1,"female",2,"18-24","Germany",3,"Student",3,"Undergraduate",1,"<500€"
519,1,1,0,1,1,0,0,0,0,1,0,7,7,6,7,7,7,7,7,7,7,30,10,30,30,1,"female",2,"18-24","Turkey",3,"Student",2,"High school",1,"<500€"
526,0,1,0,1,1,0,1,0,1,1,0,2,3,3,4,3,5,6,5,5,5,30,10,30,30,1,"female",4,"30-34","Turkey",1,"Employed",3,"Undergraduate",4,"1501-2000€"
533,1,0,0,1,1,1,1,0,0,0,0,2,3,4,2,2,5,5,4,5,4,5,5,10,80,1,"female",8,">=50","Germany",1,"Employed",5,"Other",3,"1001-1500€"
535,0,0,0,1,1,1,1,0,1,1,0,6,6,5,6,6,4,4,4,4,4,20,20,10,50,2,"male",2,"18-24","Turkey",1,"Employed",3,"Undergraduate",7,">=3001€"
608,0,0,0,0,1,1,1,0,0,0,0,3,3,3,3,3,3,2,4,5,3,30,10,40,20,1,"female",2,"18-24","Turkey",3,"Student",2,"High school",1,"<500€"
622,0,0,0,0,0,0,0,0,0,0,1,3,2,1,2,2,4,4,4,5,5,20,10,20,50,2,"male",2,"18-24","United Kingdom",3,"Student",2,"High school",2,"501-1000€"
631,0,0,0,1,1,1,1,1,0,0,0,2,2,2,2,2,5,5,5,5,5,35,0,50,15,1,"female",2,"18-24","Germany",3,"Student",2,"High school",1,"<500€"
632,0,0,0,0,1,1,1,0,0,1,0,2,2,2,4,2,4,4,4,4,4,25,10,35,30,1,"female",2,"18-24","Germany",3,"Student",3,"Undergraduate",8,"rather not say"
633,0,0,0,1,1,1,1,0,1,0,0,4,5,3,5,6,4,5,4,4,5,20,10,40,30,2,"male",2,"18-24","Turkey",3,"Student",4,"Graduate",2,"501-1000€"
635,0,1,0,1,1,1,1,0,0,1,0,5,6,5,5,6,5,3,4,3,5,30,15,30,25,1,"female",2,"18-24","Germany",3,"Student",4,"Graduate",2,"501-1000€"
639,0,0,0,1,0,0,0,0,0,1,0,1,2,1,2,1,1,1,1,1,1,80,0,20,0,1,"female",2,"18-24","Germany",1,"Employed",2,"High school",3,"1001-1500€"
641,1,0,0,1,0,0,0,0,0,0,0,3,3,2,4,5,6,5,5,5,5,40,10,10,40,1,"female",2,"18-24","Germany",3,"Student",2,"High school",2,"501-1000€"
647,0,1,0,1,1,0,0,0,0,0,0,3,3,3,4,4,5,4,3,5,5,10,8,12,70,1,"female",3,"25-29","Germany",3,"Student",2,"High school",2,"501-1000€"
652,1,0,0,1,1,1,1,1,1,1,0,5,5,4,5,5,4,5,3,3,5,25,5,20,50,2,"male",3,"25-29","Germany",3,"Student",2,"High school",3,"1001-1500€"
655,1,1,0,1,1,0,0,0,0,0,0,5,5,5,4,4,2,6,2,5,3,20,20,10,50,2,"male",3,"25-29","Turkey",3,"Student",2,"High school",3,"1001-1500€"
656,0,0,0,0,0,1,1,0,0,1,0,4,5,2,3,3,3,4,4,5,4,40,15,30,15,1,"female",2,"18-24","Egypt",1,"Employed",3,"Undergraduate",8,"rather not say"
670,1,0,0,1,1,0,0,0,0,1,0,2,2,2,2,2,4,5,4,4,3,25,15,30,30,2,"male",3,"25-29","Finland",3,"Student",3,"Undergraduate",3,"1001-1500€"
676,0,0,0,1,1,0,0,0,0,0,0,2,4,3,4,4,4,4,5,4,5,20,15,35,30,2,"male",2,"18-24","Germany",3,"Student",2,"High school",2,"501-1000€"
680,1,0,1,1,1,0,0,0,1,1,0,3,3,2,4,3,3,4,5,3,5,30,0,0,70,2,"male",4,"30-34","Germany",2,"Self-employed",4,"Graduate",7,">=3001€"
683,1,1,0,1,1,0,0,0,0,0,0,4,4,2,6,5,6,7,7,6,2,10,20,30,40,2,"male",3,"25-29","Finland",3,"Student",3,"Undergraduate",2,"501-1000€"
685,1,0,0,1,1,1,1,0,0,0,0,6,6,5,7,6,5,6,6,5,4,20,15,30,35,2,"male",3,"25-29","Netherlands",3,"Student",3,"Undergraduate",2,"501-1000€"
689,0,0,0,0,1,0,0,0,0,0,0,4,4,5,4,4,3,2,3,4,5,30,5,15,50,2,"male",8,">=50","Germany",1,"Employed",4,"Graduate",8,"rather not say"
690,0,1,1,1,0,1,1,0,0,1,0,2,2,2,2,3,5,5,6,5,4,20,10,35,35,1,"female",2,"18-24","Germany",3,"Student",4,"Graduate",1,"<500€"
699,0,0,0,0,0,0,0,0,0,1,0,2,2,1,3,3,5,5,5,5,5,20,20,35,25,1,"female",4,"30-34","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
700,1,0,0,1,0,0,0,0,0,0,0,6,7,5,7,7,6,6,6,6,6,20,0,10,70,2,"male",7,"45-49","Germany",1,"Employed",2,"High school",8,"rather not say"
704,1,1,0,1,0,0,0,0,0,0,0,6,6,4,6,6,5,6,7,7,6,25,10,25,40,2,"male",5,"35-39","Saudi Arabia",1,"Employed",4,"Graduate",7,">=3001€"
705,1,0,0,1,1,1,1,1,1,1,0,4,4,4,4,4,3,5,2,3,4,50,5,40,5,1,"female",3,"25-29","Germany",1,"Employed",4,"Graduate",7,">=3001€"
706,1,0,0,1,1,0,0,0,1,0,0,6,6,5,6,6,5,6,6,6,5,20,10,10,60,2,"male",8,">=50","Belgium",2,"Self-employed",4,"Graduate",7,">=3001€"
708,0,0,0,0,0,0,1,0,0,0,0,2,2,2,4,4,6,4,4,5,4,30,20,20,30,3,"Prefer not to answer",7,"45-49","Austria",1,"Employed",2,"High school",8,"rather not say"
717,1,1,0,1,1,0,1,0,1,1,0,6,6,4,6,6,6,6,6,6,6,15,5,15,65,2,"male",4,"30-34","Saudi Arabia",1,"Employed",4,"Graduate",4,"1501-2000€"
718,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,2,5,3,4,5,15,2,70,13,1,"female",2,"18-24","Germany",3,"Student",4,"Graduate",1,"<500€"
720,0,0,0,1,1,0,0,0,0,0,0,3,4,2,6,4,3,2,2,3,2,30,10,40,20,1,"female",2,"18-24","Germany",3,"Student",2,"High school",1,"<500€"
729,1,0,1,1,1,0,1,1,0,1,0,5,5,4,5,5,2,4,4,5,3,0,0,0,100,2,"male",5,"35-39","Saudi Arabia",4,"Unemployed",2,"High school",5,"2001-2500€"
731,1,1,1,1,0,0,1,0,0,0,0,6,6,5,6,7,7,6,5,5,5,20,10,20,50,1,"female",2,"18-24","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
734,1,1,0,0,0,0,0,0,0,0,1,3,6,4,4,5,5,4,5,3,3,25,15,20,40,2,"male",3,"25-29","Saudi Arabia",1,"Employed",4,"Graduate",3,"1001-1500€"
737,1,0,0,1,1,0,0,0,0,1,0,5,5,4,5,6,3,5,5,3,5,20,10,30,40,2,"male",3,"25-29","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
750,1,0,0,0,0,0,0,0,0,0,1,2,3,1,3,5,5,2,6,5,3,40,10,40,10,1,"female",3,"25-29","Germany",3,"Student",4,"Graduate",1,"<500€"
753,0,1,0,1,1,0,0,0,0,1,0,3,3,2,2,3,5,6,5,5,6,30,5,30,35,1,"female",2,"18-24","Germany",3,"Student",2,"High school",2,"501-1000€"
754,0,0,0,0,1,0,1,0,0,0,0,2,2,1,4,3,7,2,7,6,2,0,0,100,0,1,"female",2,"18-24","Germany",3,"Student",3,"Undergraduate",3,"1001-1500€"
