"id","cs","alt","choice","none","price","battery1","battery2","battery3","battery4","weight1","weight2","weight3","sound1","sound2","sound3"
14,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0
14,9,1,0,0,11,1,0,0,0,1,0,0,0,0,1
14,9,2,0,0,15,0,0,1,0,0,0,1,0,1,0
14,9,3,1,0,9,-1,-1,-1,-1,0,1,0,0,0,1
14,9,4,0,1,0,0,0,0,0,0,0,0,0,0,0
14,10,1,1,0,7,0,0,1,0,-1,-1,-1,-1,-1,-1
14,10,2,0,0,9,0,0,0,1,-1,-1,-1,1,0,0
14,10,3,0,0,9,0,1,0,0,1,0,0,0,1,0
14,10,4,0,1,0,0,0,0,0,0,0,0,0,0,0
14,11,1,0,0,15,1,0,0,0,0,0,1,0,1,0
14,11,2,1,0,11,0,1,0,0,0,1,0,-1,-1,-1
14,11,3,0,0,13,-1,-1,-1,-1,-1,-1,-1,1,0,0
14,11,4,0,1,0,0,0,0,0,0,0,0,0,0,0
14,12,1,0,0,13,-1,-1,-1,-1,0,0,1,0,0,1
14,12,2,0,0,7,0,0,1,0,1,0,0,0,1,0
14,12,3,1,0,9,0,0,0,1,0,0,1,-1,-1,-1
14,12,4,0,1,0,0,0,0,0,0,0,0,0,0,0
22,1,1,0,0,13,1,0,0,0,0,1,0,0,1,0
22,1,2,0,0,9,0,0,1,0,-1,-1,-1,1,0,0
22,1,3,1,0,11,0,0,0,1,0,0,1,0,0,1
22,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0
22,2,1,0,0,7,0,0,0,1,1,0,0,1,0,0
22,2,2,1,0,13,-1,-1,-1,-1,0,1,0,0,0,1
22,2,3,0,0,7,-1,-1,-1,-1,0,0,1,0,1,0
22,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0
22,3,1,0,0,11,1,0,0,0,-1,-1,-1,0,1,0
22,3,2,1,0,9,0,1,0,0,0,1,0,-1,-1,-1
22,3,3,0,0,11,-1,-1,-1,-1,1,0,0,1,0,0
22,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0
22,4,1,0,0,9,0,1,0,0,-1,-1,-1,0,0,1
